정류장 고유번호,정류장 명,위도,경도
34041,도암리입구,36.44731,127.28557
34039,도암리입구,36.44691,127.28575
34005,감성초등학교,36.44355,127.28742
34046,두만리(산동마을),36.43671,127.2877
34003,감성초등학교,36.44337,127.28774
34004,감성리(32사 방면),36.44005,127.28813
34002,감성리,36.440359,127.2883289
34043,두만2리,36.42736,127.29114
34075,송림사입구,36.43899,127.29402
34074,송림사입구,36.43892,127.29418
34095,축산리마을회관,36.44161,127.30045
34096,축산리마을회관,36.44147,127.3008
34093,축산리,36.43995,127.30652
34094,축산리,36.43975,127.30656
34068,선화원,36.44382,127.31329
34009,금천1리,36.44221,127.31358
34015,금천1리,36.4421,127.31367
34014,금천1리,36.44227,127.31377
34020,남곡리마을회관,36.47028,127.31391
34017,금천1리마을회관,36.4421,127.3155
34016,금천1리마을회관,36.44226,127.3156
34101,황용2리,36.4745,127.3184
34018,금천2리마을회관,36.43823,127.31981
34064,새나루마을1단지,36.48595,127.32072
34097,황용리(황용1교),36.47964,127.32127
34013,새나루마을8단지,36.4892,127.32362
34012,새나루마을8단지,36.48908,127.32385
34066,새나루마을9단지,36.4908651,127.3243797
34067,새나루마을9단지,36.4908357,127.3247427
34103,황용교,36.481796,127.323949
34102,황용교,36.482016,127.324181
34107,황용리,36.48062,127.32678
34058,산학연클러스터,36.497241,127.330506
34055,세종이음학교,36.4988902,127.3363593
34106,황용리삼성복지회관,36.48021,127.32967
34056,세종이음학교,36.4991726,127.3365082
33034,부강삼거리,36.52776,127.37218
33053,행산리,36.55633,127.37314
33052,행산리(미건산업입구),36.5575,127.37354
33031,부강면생활체육관,36.52758,127.37381
33022,문곡1리,36.52709,127.37805
33042,문곡1리,36.52727,127.37843
33048,등곡3리(충광농원),36.51333,127.38231
33049,등곡3리(충광농원),36.51325,127.3826
33023,세종미래고등학교,36.52808,127.3833
33043,세종미래고등학교,36.52812,127.38392
33020,등곡리,36.50773,127.38487
33019,등곡리,36.50735,127.38499
33025,문곡3리,36.52847,127.38761
33024,문곡3리,36.52858,127.38782
33016,매포역(노호2리),36.49753,127.39272
33021,매포역(노호2리),36.49737,127.39305
33012,문곡2리,36.52978,127.39637
33013,문곡2리,36.52966,127.39645
33015,노호1리,36.49517,127.39858
33014,노호1리,36.495,127.39872
33018,등곡2리,36.49376,127.40229
33017,등곡2리,36.49386,127.40245
39009,소정3리,36.7121,127.14863
39022,운당2리,36.7057756,127.1489661
39008,소정2리(넉바위),36.7169634,127.1506341
39023,운당1리,36.6979,127.15261
39001,KCC앞,36.70867,127.15287
39017,소정면우체국,36.71422,127.15471
39018,소정면우체국,36.7143,127.15486
39013,소정리역,36.71895,127.1566
39015,소정면사무소,36.72173,127.15762
39016,소정면사무소,36.72149,127.15766
39011,소정리입구,36.712119,127.153895
39025,소정리,36.72478,127.15813
39006,대곡4리,36.72556,127.15982
39014,소정육교(맹골),36.72646,127.16173
39020,소정육교(맹골),36.7271,127.16202
39019,소정육교,36.72718,127.16312
39003,고등1리마을회관,36.71543,127.19507
39002,고등1리마을회관,36.71551,127.19521
31026,수산리,36.5408579,127.2307892
31028,수산리(방아다리),36.54452,127.23693
31010,눌왕2리,36.54384,127.24391
31012,눌왕2리,36.54346,127.24441
31008,눌왕2리마을회관,36.5442,127.24662
31009,눌왕2리(푸른농원),36.54602,127.24922
31013,눌왕2리(푸른농원),36.54592,127.24938
11002,고려대학교,36.61076,127.29344
11038,조치원청사,36.59287,127.29349
11084,침산리,36.60717,127.29378
11037,조치원청사,36.59201,127.2938
11083,침산리,36.60684,127.29397
11004,세무서 출장민원실,36.60607,127.29412
11016,번암삼거리,36.58365,127.29409
11015,번암삼거리,36.58401,127.29416
11030,새주막거리,36.61256,127.29455
11057,욱일아파트,36.60238,127.29482
11055,조치원역뒤편,36.599727,127.2951059
11085,조치원역뒤편,36.60061,127.29509
11077,죽림리,36.59645,127.2957
11078,죽림리,36.59662,127.29091
11017,번암아파트,36.58577,127.29582
11018,번암아파트,36.5866993,127.2971748
11035,세종고등학교,36.61024,127.29666
11040,신동아아파트,36.59199,127.29667
11034,세종고등학교,36.61017,127.2968
11041,신동아아파트,36.59221,127.29698
11069,세종중학교,36.60591,127.29721
11070,세종중학교,36.60578,127.29741
11039,세종우체국,36.60296,127.29789
11062,조치원전통시장,36.599942,127.29819
11063,조치원전통시장,36.59898,127.29861
11075,죽림리,36.59078,127.29892
11076,죽림리,36.59127,127.29897
11072,조치원버스터미널,36.6024592,127.3035236
35016,봉안리(다름고개),36.4990185,127.2291006
34035,도남리,36.44575,127.23259
34034,도남리,36.44587,127.23284
34036,금강수목원(산림박물관),36.43782,127.23549
34037,금강수목원(산림박물관),36.4378,127.23567
34087,원봉1리,36.44815,127.23738
34086,원봉1리,36.45007,127.23924
34089,원봉2리,36.44738,127.24399
34090,원봉2리마을회관,36.44547,127.2468
34069,성강리,36.42239,127.25092
34071,성강리마을회관,36.41316,127.25331
34077,영곡2리,36.45872,127.2553
34076,영곡2리,36.44812,127.25838
34078,영곡리,36.45172,127.26405
34072,성덕1리,36.46097,127.26644
34001,국곡리32사단,36.427,127.26875
34007,국곡리,36.42802,127.27674
34008,국곡리,36.42818,127.27676
11051,봉산리(국제기계),36.61816,127.27034
11050,봉산리(국제기계),36.61812,127.27049
11028,봉산리(윗말),36.61172,127.27374
11009,봉산리(윗말),36.61174,127.27389
11023,봉산리(중뜸),36.60959,127.27518
