id,title,release_date,popularity
49026,다크 나이트 라이즈,2012-07-17,16.4648
9614,해피 길모어,1996-02-16,18.9059
801335,걸 인 더 베이스먼트,2021-02-27,15.6863
370663,빌로우 허,2017-02-10,15.8326
809,슈렉 2,2004-05-19,13.6397
1337411,Obsesyon,2025-07-04,15.1058
1506130,다니 로비라: 그래도 살 만해,2025-07-10,13.6684
694943,배달노출: 알몸으로 유혹하기,2020-04-10,16.193
475557,조커,2019-10-01,14.774
786892,퓨리오사: 매드맥스 사가,2024-05-22,14.6521
1035259,총알 탄 사나이,2025-07-30,16.7797
436969,더 수어사이드 스쿼드,2021-06-06,13.8576
353081,미션 임파서블: 폴아웃,2018-07-25,13.971
559,스파이더맨 3,2007-05-01,16.7985
38365,다 큰 녀석들,2010-06-24,12.9621
350,악마는 프라다를 입는다,2006-06-29,17.3423
793058,하이파이브,2025-05-30,13.7275
1562,28주 후,2007-04-26,15.4501
1064486,달팽이의 회고록,2024-10-17,14.9985
1356236,Saint Catherine,2024-09-24,14.7154
424,쉰들러 리스트,1993-12-15,14.9716
38757,라푼젤,2010-11-24,15.3188
38575,베스트 키드,2010-06-10,13.6603
866398,비키퍼,2024-01-08,14.662
1241752,Rita,2024-03-22,14.6832
11,스타워즈 에피소드 4: 새로운 희망,1977-05-25,14.5982
429,석양의 무법자,1966-12-22,17.3779
4935,하울의 움직이는 성,2004-09-09,14.3653
1078605,웨폰,2025-08-06,15.545
985939,폴: 600미터,2022-08-11,14.0888
141052,저스티스 리그,2017-11-15,14.5809
1138194,헤레틱,2024-10-31,14.1923
1405338,데몬 시티: 악귀 죽이기,2025-02-26,14.8685
226674,L'Adolescente,1979-01-24,13.3128
820232,귀멸의 칼날: 남매의 연,2019-03-29,14.6215
1029529,無力の王,1981-08-29,15.6352
1097549,베이비걸,2024-12-25,14.492
466272,원스 어폰 어 타임 인… 할리우드,2019-07-24,15.5886
829560,또 다른 365일,2022-08-18,15.1195
106,프레데터,1987-06-12,14.1813
1083968,록트,2025-03-20,15.7351
10625,퀸카로 살아남는 법,2004-04-30,15.3626
8587,라이온 킹,1994-06-15,14.1604
1356039,역습,2025-02-27,15.1095
1097311,'에코 밸리' - Echo Valley,2025-06-13,13.8513
177572,빅 히어로,2014-10-24,13.4468
676685,꼬마 판다 팡의 아프리카 대모험,2024-03-15,14.0923
818647,스루 마이 윈도,2022-02-04,15.1629
652,트로이,2004-05-13,14.8533
589018,내 이름은 케리아,2024-10-16,13.1305
321612,미녀와 야수,2017-03-16,11.5384
348,에이리언,1979-05-25,13.4818
1038392,컨저링: 마지막 의식,2025-09-03,14.4234
1377424,വിക്ടോറിയ,2024-12-14,11.4959
408866,리:본,2016-09-24,12.4093
970450,나이트 오브 울브즈,2024-12-04,15.6131
429617,스파이더맨: 파 프롬 홈,2019-06-28,13.4447
68721,아이언맨 3,2013-04-18,13.6676
423108,컨저링 3: 악마가 시켰다,2021-05-25,14.0113
1865,캐리비안의 해적: 낯선 조류,2011-05-15,13.8954
653346,혹성탈출: 새로운 시대,2024-05-08,13.4734
1079346,5lbs of Pressure,2024-03-08,11.6353
197,브레이브하트,1995-05-24,12.8764
1401502,无名之辈：否极泰来,2025-06-26,13.7881
425,아이스 에이지,2002-03-14,13.1477
489,굿 윌 헌팅,1997-12-05,13.1059
